RANK,TITLE,ID
615,Detective Conan Movie 12: Full Score of Fear,4447
616,Ginga Tetsudou 999,1491
617,Gungrave,267
618,Inuyashiki,34542
619,Jungle wa Itsumo Hare nochi Guu,253
620,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,33263
621,Kyou kara Maou! 3rd Series,4080
622,Musekinin Kanchou Tylor,569
623,Seikai no Senki II,397
624,Tasogare Otome x Amnesia,12445
625,Tiger & Bunny Movie 2: The Rising,12017
626,Top wo Nerae! Gunbuster,949
627,Zhen Hun Jie,33350
628,Baka to Test to Shoukanjuu Ni!,8516
629,Danshi Koukousei no Nichijou Specials,12893
630,Dragon Ball Kai (2014),22777
631,Gake no Ue no Ponyo,2890
632,Gekkan Shoujo Nozaki-kun Specials,27633
633,Gundam Build Fighters,19319
634,Jormungand,12413
635,Maria-sama ga Miteru 4th,3750
636,New Game!!,34914
637,Prison School,30240
638,Tentai Senshi Sunred,5005
639,Ushiro no Shoumen Daare,2753
640,Vampire Hunter D (2000),543
641,Yuusha-Ou GaoGaiGar,890
642,Akagami no Shirayuki-hime,30123
643,Break Blade 5: Shisen no Hate,9724
644,Charlotte,28999
645,City Hunter 3,1472
646,Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,6768
647,D.Gray-man Hallow,32370
648,Ghost Hunt,1571
649,Goku Sayonara Zetsubou Sensei,4872
650,Jungle wa Itsumo Hare nochi Guu Deluxe,254
651,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",35363
652,Kuroko no Basket 3rd Season NG-shuu,30311
653,Mirai Nikki (TV),10620
654,Mobile Suit Gundam Wing: Endless Waltz Movie,2273
655,New Initial D Movie: Legend 2 - Tousou,28881
656,Saint Seiya: Meiou Hades Meikai-hen,1253
657,Shiki,7724
658,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,23249
659,Watashi no Ashinaga Ojisan,1375
660,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),35507
661,Yuru Camp△,34798
662,Yuru Yuri♪♪,12403
663,Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,32863
664,Detective Conan Movie 21: The Crimson Love Letter,34430
665,Detective Conan OVA 10: Kid in Trap Island,8609
666,Dragon Ball Kai,6033
